ProdType;ProdStatus;Start Sens;Stop Sens;Platform;Sens Type;Cloud Cov;Dataset;Arch Date;CPP File;Acq Type;Acq Orb Nm;Orb Direct;AcqAcrAngl;AcqAloAngl;Polar Chan;Ill Az Ang;Ill El Ang;ResolClass;OrderRef;Prod Size;Download;Eop Id;Footprint;Request Id
WV1_PM8_SO;ARCHIVED;2011-08-10_11_12_57_000;2011-08-10_11_13_06_000;EW02;OPTICAL;2;VHR1-2_Urban_Atlas_2012/EU00/UTM-WGS84;2015-07-28_13_09_22_000;EW02_WV1_PM8_SO_20110810T110857_20110810T110806_DGI_9633_3CA0.0000.tar;NOMINAL;9633;DESCENDING;;;;;;Optical VHR1;orderReference_not_available;25790115840;https://cdsdata.copernicus.eu/pd-desk/OA/RVcwMg==/MC4x/cd/dXJuOmVvcDpFVVNJOkVXMDI6MTAzMDAxMDAwQzRGNDAwMDowNTQ0NDg3NDcwMTA=/0/RVcwMl9XVjFfUE04X1NPXzIwMTEwODEwVDExMDg1N18yMDExMDgxMFQxMTA4MDZfREdJXzk2MzNfM0NBMC4wMDAwLnRhcg==;urn:eop:EUSI:EW02:103001000C4F4000:054448747010;49.17837614 2.5348022 49.17266697 2.3022141 49.12983288 2.3026083 49.08687956 2.3027935 49.04390381 2.3029823 49.00090188 2.3031378 48.95783315 2.3031862 48.91482227 2.3033564 48.8718245 2.3035853 48.82879163 2.3037999 48.78574897 2.3040278 48.74266259 2.304216 48.69955352 2.3043919 48.65642704 2.304571 48.61331831 2.3047948 48.57018784 2.3050146 48.52698524 2.3051856 48.48380502 2.3054159 48.4564161 2.3055773 48.46246329 2.5345364 48.48990656 2.5345159 48.5330804 2.5345101 48.57625687 2.534535 48.61939687 2.534567 48.66251527 2.5345984 48.70558356 2.5345855 48.74867932 2.534635 48.79172118 2.534631 48.83474049 2.5346262 48.87771539 2.534587 48.92072358 2.534639 48.96369345 2.5346653 49.00670007 2.5347643 49.04966083 2.534804 49.09263876 2.5348885 49.13547973 2.5347874 49.17837614 2.5348022;
WV1_PM8_SO;ARCHIVED;2011-08-10_11_13_17_000;2011-08-10_11_13_26_000;EW02;OPTICAL;1;VHR1-2_Urban_Atlas_2012/EU00/UTM-WGS84;2015-07-28_13_09_22_000;EW02_WV1_PM8_SO_20110810T110817_20110810T110826_DGI_9633_D1C8.0000.tar;NOMINAL;9633;DESCENDING;;;;;;Optical VHR1;orderReference_not_available;25793638400;https://cdsdata.copernicus.eu/pd-desk/OA/RVcwMg==/MC4x/13/dXJuOmVvcDpFVVNJOkVXMDI6MTAzMDAxMDAwQ0JDRUEwMDowNTQ0NDg3NTYwMTA=/0/RVcwMl9XVjFfUE04X1NPXzIwMTEwODEwVDExMDgxN18yMDExMDgxMFQxMTA4MjZfREdJXzk2MzNfRDFDOC4wMDAwLnRhcg==;urn:eop:EUSI:EW02:103001000CBCEA00:054448756010;49.1750611 2.3233724 49.17369186 2.0937068 49.13137285 2.0938125 49.0890702 2.0938795 49.04681353 2.0938466 49.00454714 2.0939221 48.96231263 2.0939465 48.92006934 2.094038 48.87785006 2.094068 48.83562664 2.094143 48.79343016 2.094165 48.751247 2.0941546 48.70909151 2.0940802 48.66693742 2.094162 48.62480918 2.0940833 48.58268839 2.0939088 48.54056372 2.0938957 48.49844756 2.0938432 48.45633079 2.0937045 48.4548827 2.0936966 48.45650301 2.3187423 48.45800171 2.3187563 48.50008691 2.3192275 48.54219381 2.3195033 48.5842912 2.3198323 48.62641091 2.3201857 48.66854166 2.3204353 48.71065705 2.3207152 48.75281347 2.3209834 48.79497403 2.3212814 48.83714783 2.321552 48.87933956 2.3218086 48.92154554 2.3220398 48.96374972 2.3223019 49.00590815 2.3227236 49.04817725 2.3228657 49.09043858 2.323094 49.13270741 2.323345 49.1750611 2.3233724;
WV1_PM8_SO;ARCHIVED;2011-08-10_11_13_38_000;2011-08-10_11_13_47_000;EW02;OPTICAL;4;VHR1-2_Urban_Atlas_2012/EU00/UTM-WGS84;2015-07-28_13_09_22_000;EW02_WV1_PM8_SO_20110810T110838_20110810T110847_DGI_9633_F5EB.0000.tar;NOMINAL;9633;DESCENDING;;;;;;Optical VHR1;orderReference_not_available;25890897920;https://cdsdata.copernicus.eu/pd-desk/OA/RVcwMg==/MC4x/c5/dXJuOmVvcDpFVVNJOkVXMDI6MTAzMDAxMDAwQ0M1RjcwMDowNTQ0NDg3NjIwMTA=/0/RVcwMl9XVjFfUE04X1NPXzIwMTEwODEwVDExMDgzOF8yMDExMDgxMFQxMTA4NDdfREdJXzk2MzNfRjVFQi4wMDAwLnRhcg==;urn:eop:EUSI:EW02:103001000CC5F700:054448762010;49.17509446 2.7445266 49.17394371 2.5116267 49.12926716 2.5116515 49.08471311 2.5116327 49.04034238 2.5115838 48.99597227 2.511525 48.95170796 2.5114086 48.90740246 2.5112922 48.86316373 2.5111597 48.81895812 2.5110025 48.77483078 2.510801 48.73058562 2.510603 48.68655987 2.5103712 48.64256962 2.510131 48.59858031 2.5098643 48.55466924 2.509572 48.51079251 2.509254 48.46695889 2.5089014 48.45661612 2.508822 48.45777181 2.73641 48.4681322 2.736567 48.51197338 2.7372203 48.555878 2.7378438 48.59978381 2.738445 48.64377158 2.739028 48.68772582 2.7395823 48.73179482 2.7401278 48.77588527 2.7406728 48.82001006 2.7411962 48.86425274 2.7416809 48.90863452 2.7421362 48.95285033 2.7425942 48.99711009 2.7430365 49.04145269 2.7434347 49.08594233 2.7438104 49.13041341 2.7441945 49.17509446 2.7445266;
WV1_PM8_SO;ARCHIVED;2011-06-28_10_50_39_000;2011-06-28_10_50_46_000;EW02;OPTICAL;0;VHR1-2_Urban_Atlas_2012/EU00/UTM-WGS84;2015-08-27_18_08_03_000;EW02_WV1_PM8_SO_20110628T100639_20110628T100646_DGI_9015_38CD.0000.tar;NOMINAL;9015;DESCENDING;;;;;;Optical VHR1;STO#VHR1-2_Urban_Atlas_2012#EW02#2021;24806717440;https://cdsdata.copernicus.eu/pd-desk/OA/RVcwMg==/MC4x/ac/dXJuOmVvcDpFVVNJOkVXMDI6MTAzMDA1MDAxMEY4QzgwMDowNTQ0NTA3NjAwMTA=/0/RVcwMl9XVjFfUE04X1NPXzIwMTEwNjI4VDEwMDYzOV8yMDExMDYyOFQxMDA2NDZfREdJXzkwMTVfMzhDRC4wMDAwLnRhcg==;urn:eop:EUSI:EW02:1030050010F8C800:054450760010;45.41512279 5.870097711 45.42070248 5.646768417 45.37586557 5.645884877 45.32908279 5.646719085 45.28479261 5.645476035 45.23916806 5.645384898 45.19137963 5.647165616 45.14506405 5.647709651 45.10069207 5.646616195 45.05531978 5.646401404 45.01099871 5.645306846 44.96473962 5.645890652 44.91912713 5.645958161 44.87449962 5.64519898 44.82939571 5.644887578 44.78395821 5.644883337 44.77304219 5.645044531 44.76678444 5.863845982 44.77709542 5.864296435 44.82420782 5.863440992 44.86893283 5.864359954 44.91396639 5.865080324 44.958567 5.866141197 45.00341735 5.867050536 45.04898831 5.86743448 45.0936292 5.868521628 45.14011873 5.868270026 45.18703734 5.867730113 45.23375546 5.867353736 45.27916099 5.867952649 45.32163376 5.870703185 45.36790874 5.870715621 45.41512279 5.870097711;
WV1_PM8_SO;ARCHIVED;2011-07-03_11_06_14_000;2011-07-03_11_06_25_000;EW02;OPTICAL;0;VHR1-2_Urban_Atlas_2012/EU00/UTM-WGS84;2015-08-27_18_48_05_000;EW02_WV1_PM8_SO_20110703T110714_20110703T110725_DGI_9087_F95E.0000.tar;NOMINAL;9087;DESCENDING;;;;;;Optical VHR1;STO#VHR1-2_Urban_Atlas_2012#EW02#2079;38341457920;https://cdsdata.copernicus.eu/pd-desk/OA/RVcwMg==/MC4x/79/dXJuOmVvcDpFVVNJOkVXMDI6MTAzMDA1MDAxMEY4RkMwMDowNTQ0NTA3NjkwMTA=/1/RVcwMl9XVjFfUE04X1NPXzIwMTEwNzAzVDExMDcxNF8yMDExMDcwM1QxMTA3MjVfREdJXzkwODdfRjk1RS4wMDAwLnRhcg==;urn:eop:EUSI:EW02:1030050010F8FC00:054450769010;49.22218525 2.10421463 49.22071056 1.855165889 49.17691074 1.855245311 49.1331342 1.855351321 49.08936603 1.855306991 49.04560975 1.855348707 49.00186676 1.855435072 48.95813377 1.855139367 48.91441634 1.855066191 48.87070915 1.855223428 48.82701421 1.855068861 48.78334267 1.855050775 48.73968658 1.855240989 48.69603179 1.855157108 48.65238519 1.855006812 48.60874631 1.85478198 48.56511357 1.85458193 48.52150572 1.854386368 48.47789608 1.854183929 48.4342851 1.853944073 48.39070843 1.853675449 48.34711755 1.853386041 48.30352824 1.853084101 48.25995847 1.852755102 48.2496523 1.852678399 48.25248299 2.093829228 48.2629135 2.093982591 48.30641242 2.094544606 48.34994302 2.095262473 48.39346776 2.095899181 48.4369786 2.09648819 48.48052444 2.097078409 48.52406896 2.097649458 48.56760518 2.097982152 48.61117451 2.098592571 48.65474958 2.099336252 48.69832672 2.099591552 48.7419161 2.100247836 48.78550527 2.100739534 48.82910841 2.101017942 48.87273693 2.101333008 48.91637413 2.101648522 48.96002578 2.101935582 49.00369551 2.102320136 49.04737016 2.102616873 49.09105058 2.103236197 49.13474947 2.103589672 49.17845747 2.103868955 49.22218525 2.10421463;
WV1_PM8_SO;ARCHIVED;2011-07-03_11_06_52_000;2011-07-03_11_06_58_000;EW02;OPTICAL;0;VHR1-2_Urban_Atlas_2012/EU00/UTM-WGS84;2015-08-27_18_35_25_000;EW02_WV1_PM8_SO_20110703T110752_20110703T110758_DGI_9087_F23C.0000.tar;NOMINAL;9087;DESCENDING;;;;;;Optical VHR1;STO#VHR1-2_Urban_Atlas_2012#EW02#2078;15554959360;https://cdsdata.copernicus.eu/pd-desk/OA/RVcwMg==/MC4x/9c/dXJuOmVvcDpFVVNJOkVXMDI6MTAzMDA1MDAxMEY4RkQwMDowNTQ0NTA3NzAwMTA=/0/RVcwMl9XVjFfUE04X1NPXzIwMTEwNzAzVDExMDc1Ml8yMDExMDcwM1QxMTA3NThfREdJXzkwODdfRjIzQy4wMDAwLnRhcg==;urn:eop:EUSI:EW02:1030050010F8FD00:054450770010;47.55006087 4.77657311 47.54675084 4.556155635 47.50434374 4.5561613 47.46179846 4.55613068 47.41936261 4.556129587 47.37715235 4.556234532 47.3346397 4.556114323 47.29231076 4.556117474 47.25006273 4.556153727 47.20775287 4.556123898 47.16545664 4.556063255 47.12317896 4.556023457 47.11318129 4.556017399 47.11650262 4.774589259 47.12646605 4.77461297 47.16862674 4.774685572 47.21098079 4.774979862 47.25340881 4.775305594 47.29586207 4.775620982 47.33807919 4.775675532 47.38034372 4.775790578 47.4227496 4.77600261 47.46519792 4.776207529 47.507685 4.776416853 47.55006087 4.77657311;
WV1_PM8_SO;ARCHIVED;2011-07-03_11_07_10_000;2011-07-03_11_07_16_000;EW02;OPTICAL;0;VHR1-2_Urban_Atlas_2012/EU00/UTM-WGS84;2015-08-27_18_26_37_000;EW02_WV1_PM8_SO_20110703T110710_20110703T110716_DGI_9087_A311.0000.tar;NOMINAL;9087;DESCENDING;;;;;;Optical VHR1;STO#VHR1-2_Urban_Atlas_2012#EW02#2081;19602022400;https://cdsdata.copernicus.eu/pd-desk/OA/RVcwMg==/MC4x/e0/dXJuOmVvcDpFVVNJOkVXMDI6MTAzMDA1MDAxMEY4RkUwMDowNTQ0NTA3NzIwMTA=/0/RVcwMl9XVjFfUE04X1NPXzIwMTEwNzAzVDExMDcxMF8yMDExMDcwM1QxMTA3MTZfREdJXzkwODdfQTMxMS4wMDAwLnRhcg==;urn:eop:EUSI:EW02:1030050010F8FE00:054450772010;47.63223751 4.986053151 47.62406716 4.755457755 47.57833465 4.755395918 47.53271647 4.755335442 47.48727042 4.755305332 47.44159965 4.755087268 47.39623505 4.755003846 47.35080385 4.754814442 47.30591918 4.754918191 47.26059973 4.754710916 47.21509291 4.754331678 47.16988588 4.754091268 47.12486339 4.753921556 47.10510818 4.753839761 47.11379234 4.982114634 47.13349687 4.982288519 47.17863095 4.982744406 47.22374985 4.983131926 47.26889854 4.983489871 47.31401152 4.983773267 47.35925151 4.984111775 47.40459956 4.984481406 47.44979903 4.984674364 47.49569336 4.985322564 47.54118402 4.985619869 47.58651845 4.985736234 47.63223751 4.986053151;
WV1_PM8_SO;ARCHIVED;2011-07-03_11_07_28_000;2011-07-03_11_07_33_000;EW02;OPTICAL;0;VHR1-2_Urban_Atlas_2012/EU00/UTM-WGS84;2015-08-27_18_34_18_000;EW02_WV1_PM8_SO_20110703T110728_20110703T110733_DGI_9087_C08D.0000.tar;NOMINAL;9087;DESCENDING;;;;;;Optical VHR1;STO#VHR1-2_Urban_Atlas_2012#EW02#2080;17723422720;https://cdsdata.copernicus.eu/pd-desk/OA/RVcwMg==/MC4x/7d/dXJuOmVvcDpFVVNJOkVXMDI6MTAzMDA1MDAxMEY4RkYwMDowNTQ0NTA3NzMwMTA=/0/RVcwMl9XVjFfUE04X1NPXzIwMTEwNzAzVDExMDcyOF8yMDExMDcwM1QxMTA3MzNfREdJXzkwODdfQzA4RC4wMDAwLnRhcg==;urn:eop:EUSI:EW02:1030050010F8FF00:054450773010;45.46541617 6.076307903 45.45587615 5.847225439 45.41250764 5.849459798 45.36810729 5.848111667 45.32416186 5.848483207 45.28096807 5.851747784 45.23746733 5.85398781 45.19329101 5.853573931 45.14918761 5.853451216 45.10487091 5.852509482 45.06140574 5.855238885 45.01679642 5.852929659 45.00625348 5.852662043 45.01604449 6.079012162 45.02661954 6.08060232 45.06974803 6.076439354 45.1134866 6.075272316 45.15785056 6.076978579 45.20133885 6.074882639 45.24439434 6.071075362 45.28943402 6.075614155 45.33295788 6.073822087 45.37732376 6.075444278 45.42114644 6.075013827 45.46541617 6.076307903;
WV1_PM8_SO;ARCHIVED;2011-07-08_11_24_25_000;2011-07-08_11_24_29_000;EW02;OPTICAL;0;VHR1-2_Urban_Atlas_2012/EU00/UTM-WGS84;2015-08-27_19_32_03_000;EW02_WV1_PM8_SO_20110708T110725_20110708T110729_DGI_9159_02DE.0000.tar;NOMINAL;9159;DESCENDING;;;;;;Optical VHR1;STO#VHR1-2_Urban_Atlas_2012#EW02#2032;12355696640;https://cdsdata.copernicus.eu/pd-desk/OA/RVcwMg==/MC4x/0d/dXJuOmVvcDpFVVNJOkVXMDI6MTAzMDA1MDAxMEY5NUEwMDowNTQ0NTA4MDIwMTA=/0/RVcwMl9XVjFfUE04X1NPXzIwMTEwNzA4VDExMDcyNV8yMDExMDcwOFQxMTA3MjlfREdJXzkxNTlfMDJERS4wMDAwLnRhcg==;urn:eop:EUSI:EW02:1030050010F95A00:054450802010;43.0774803 -1.02654805 43.05899819 -1.026478029 43.01489045 -1.02644668 42.9702515 -1.026499642 42.92478617 -1.026635055 42.88026243 -1.026682714 42.83422589 -1.026861798 42.78829154 -1.027043561 42.74191123 -1.027341734 42.74588996 -0.8170482913 42.79281934 -0.8173282261 42.83962721 -0.8176943653 42.88440796 -0.8180594754 42.928896 -0.8184128795 42.97368148 -0.8187751545 43.01843986 -0.819149444 43.06120207 -0.8194894816 43.07980752 -0.8196265484 43.0774803 -1.02654805;
WV1_PM8_SO;ARCHIVED;2011-07-08_11_24_14_000;2011-07-08_11_24_18_000;EW02;OPTICAL;0;VHR1-2_Urban_Atlas_2012/EU00/UTM-WGS84;2015-10-02_01_43_28_000;EW02_WV1_PM8_SO_20110708T110714_20110708T110718_DGI_9159_02DE.0000.tar;NOMINAL;9159;DESCENDING;;;;;;Optical VHR1;STO#VHR1-2_Urban_Atlas_2012#EW02#2030;10587740160;https://cdsdata.copernicus.eu/pd-desk/OA/RVcwMg==/MC4x/9d/dXJuOmVvcDpFVVNJOkVXMDI6MTAzMDA1MDAxMEY5NUIwMDowNTQ0NTA4MDQwMTA=/0/RVcwMl9XVjFfUE04X1NPXzIwMTEwNzA4VDExMDcxNF8yMDExMDcwOFQxMTA3MThfREdJXzkxNTlfMDJERS4wMDAwLnRhcg==;urn:eop:EUSI:EW02:1030050010F95B00:054450804010;43.0196442 -0.6274298242 43.0132415 -0.8418405152 42.96807385 -0.8414756522 42.91976289 -0.8413938457 42.87144227 -0.8412837829 42.82342227 -0.8411114653 42.77458298 -0.840962005 42.73435509 -0.8408009861 42.74060217 -0.6264003993 42.7829125 -0.6265923987 42.82933163 -0.6268066267 42.87795094 -0.6269925014 42.92292722 -0.6271714902 42.96989147 -0.6273323132 43.0196442 -0.6274298242;
WV1_PM8_SO;ARCHIVED;2011-07-11_11_13_28_000;2011-07-11_11_13_36_000;EW02;OPTICAL;6;VHR1-2_Urban_Atlas_2012/EU00/UTM-WGS84;2015-08-27_20_30_43_000;EW02_WV1_PM8_SO_20110711T110728_20110711T110736_DGI_9202_61C4.0000.tar;NOMINAL;9202;DESCENDING;;;;;;Optical VHR1;STO#VHR1-2_Urban_Atlas_2012#EW02#2006;24327372800;https://cdsdata.copernicus.eu/pd-desk/OA/RVcwMg==/MC4x/eb/dXJuOmVvcDpFVVNJOkVXMDI6MTAzMDA1MDAxMEY5QUEwMDowNTQ0NTA4MjUwMTA=/0/RVcwMl9XVjFfUE04X1NPXzIwMTEwNzExVDExMDcyOF8yMDExMDcxMVQxMTA3MzZfREdJXzkyMDJfNjFDNC4wMDAwLnRhcg==;urn:eop:EUSI:EW02:1030050010F9AA00:054450825010;47.62006731 5.201670729 47.61998476 4.971446868 47.57705453 4.971427451 47.53402268 4.971779098 47.49103716 4.971815446 47.44813006 4.971403072 47.40502645 4.971744257 47.36193468 4.971993265 47.31878128 4.97233845 47.27567526 4.972419887 47.23242195 4.97287435 47.18920695 4.97318685 47.14599283 4.973423153 47.10272393 4.973726345 47.05942371 4.974010826 47.01609395 4.974315585 46.98859181 4.974524146 46.98794758 5.204529881 47.01538033 5.204360331 47.05874836 5.204134948 47.1021067 5.203858747 47.1454204 5.20360906 47.18870542 5.203332117 47.23194591 5.203154555 47.27518345 5.202979119 47.3183783 5.202799546 47.36155972 5.2025821 47.40468574 5.202442673 47.44779552 5.20233242 47.4908996 5.202216461 47.53397108 5.202075047 47.57701 5.201944628 47.62006731 5.201670729;
WV1_PM8_SO;ARCHIVED;2011-07-11_11_13_09_000;2011-07-11_11_13_15_000;EW02;OPTICAL;0;VHR1-2_Urban_Atlas_2012/EU00/UTM-WGS84;2015-08-27_20_24_23_000;EW02_WV1_PM8_SO_20110711T110709_20110711T110715_DGI_9202_1770.0000.tar;NOMINAL;9202;DESCENDING;;;;;;Optical VHR1;STO#VHR1-2_Urban_Atlas_2012#EW02#2009;22559457280;https://cdsdata.copernicus.eu/pd-desk/OA/RVcwMg==/MC4x/e7/dXJuOmVvcDpFVVNJOkVXMDI6MTAzMDA1MDAxMEY5QUIwMDowNTQ0NTA4MjYwMTA=/0/RVcwMl9XVjFfUE04X1NPXzIwMTEwNzExVDExMDcwOV8yMDExMDcxMVQxMTA3MTVfREdJXzkyMDJfMTc3MC4wMDAwLnRhcg==;urn:eop:EUSI:EW02:1030050010F9AB00:054450826010;47.58404072 5.411129229 47.58912432 5.177653248 47.54383203 5.177840497 47.49851119 5.177995874 47.45313662 5.178185602 47.40765033 5.178480337 47.36214508 5.178725384 47.31655393 5.179005754 47.27087998 5.179343536 47.22517105 5.179664376 47.17937939 5.180023563 47.13351946 5.180412679 47.08756382 5.18087167 47.04157898 5.18132496 47.01229874 5.181608556 47.0065982 5.415704361 47.03585912 5.415360557 47.0819815 5.414758609 47.12797092 5.414269046 47.17386573 5.413848037 47.21966974 5.413485719 47.26543954 5.413107492 47.31115937 5.412731286 47.35682485 5.412381645 47.40241016 5.412062516 47.44792491 5.411744422 47.49337477 5.411495766 47.53874798 5.411300065 47.58404072 5.411129229;
WV1_PM8_SO;ARCHIVED;2011-07-11_11_12_49_000;2011-07-11_11_12_52_000;EW02;OPTICAL;6;VHR1-2_Urban_Atlas_2012/EU00/UTM-WGS84;2015-07-28_13_09_22_000;EW02_WV1_PM8_SO_20110711T110749_20110711T110752_DGI_9202_F966.0000.tar;NOMINAL;9202;DESCENDING;;;;;;Optical VHR1;orderReference_not_available;4332298240;https://cdsdata.copernicus.eu/pd-desk/OA/RVcwMg==/MC4x/ec/dXJuOmVvcDpFVVNJOkVXMDI6MTAzMDA1MDAxMEY5QUMwMDowNTQ0Mjg3MzEwMTA=/0/RVcwMl9XVjFfUE04X1NPXzIwMTEwNzExVDExMDc0OV8yMDExMDcxMVQxMTA3NTJfREdJXzkyMDJfRjk2Ni4wMDAwLnRhcg==;urn:eop:EUSI:EW02:1030050010F9AC00:054428731010;50.52912955 2.9539566 50.52696733 2.7188497 50.48485791 2.7190356 50.44276843 2.71923 50.40069796 2.7195163 50.35865882 2.7196162 50.33204454 2.719649 50.33424683 2.9533744 50.36090251 2.9534671 50.4029301 2.9536085 50.44497163 2.953713 50.48703864 2.953849 50.52912955 2.9539566;
WV1_PM8_SO;ARCHIVED;2011-07-11_11_12_36_000;2011-07-11_11_12_38_000;EW02;OPTICAL;6;VHR1-2_Urban_Atlas_2012/EU00/UTM-WGS84;2015-07-28_13_09_22_000;EW02_WV1_PM8_SO_20110711T110736_20110711T110738_DGI_9202_9024.0000.tar;NOMINAL;9202;DESCENDING;;;;;;Optical VHR1;orderReference_not_available;4163297280;https://cdsdata.copernicus.eu/pd-desk/OA/RVcwMg==/MC4x/29/dXJuOmVvcDpFVVNJOkVXMDI6MTAzMDA1MDAxMEY5QUQwMDowNTQ0Mjg3MTgwMTA=/0/RVcwMl9XVjFfUE04X1NPXzIwMTEwNzExVDExMDczNl8yMDExMDcxMVQxMTA3MzhfREdJXzkyMDJfOTAyNC4wMDAwLnRhcg==;urn:eop:EUSI:EW02:1030050010F9AD00:054428718010;50.50931807 2.737715 50.50398361 2.4983356 50.46127069 2.4986877 50.41850939 2.4988773 50.37576123 2.4991693 50.33295268 2.4993126 50.32300643 2.4993656 50.32838417 2.7375906 50.33840768 2.7376237 50.38119952 2.7377617 50.42392022 2.7377522 50.46662466 2.7377625 50.50931807 2.737715;
WV1_PM8_SO;ARCHIVED;2011-08-02_11_06_27_000;2011-08-02_11_06_34_000;EW02;OPTICAL;0;VHR1-2_Urban_Atlas_2012/EU00/UTM-WGS84;2015-07-28_13_09_22_000;EW02_WV1_PM8_SO_20110802T110827_20110802T110834_DGI_9518_E2F7.0000.tar;NOMINAL;9518;DESCENDING;;;;;;Optical VHR1;orderReference_not_available;13899591680;https://cdsdata.copernicus.eu/pd-desk/OA/RVcwMg==/MC4x/3b/dXJuOmVvcDpFVVNJOkVXMDI6MTAzMDA1MDAxMUY5NkIwMDowNTQ0Mjg3ODcwMTA=/0/RVcwMl9XVjFfUE04X1NPXzIwMTEwODAyVDExMDgyN18yMDExMDgwMlQxMTA4MzRfREdJXzk1MThfRTJGNy4wMDAwLnRhcg==;urn:eop:EUSI:EW02:1030050011F96B00:054428787010;48.80361257 7.908151 48.80460327 7.6679897 48.7612044 7.668096 48.71773928 7.6682196 48.67423753 7.668298 48.63071919 7.6683893 48.58714978 7.6685104 48.54355937 7.6686482 48.49994003 7.668808 48.45627165 7.6689644 48.41258025 7.6691318 48.3688479 7.6693254 48.32507756 7.669531 48.28127379 7.6697645 48.23743774 7.670018 48.23578973 7.6700263 48.23424092 7.9093432 48.23578477 7.909356 48.27970722 7.909026 48.32353124 7.90896 48.36733956 7.9088607 48.4110465 7.909019 48.45478049 7.908954 48.49851714 7.9087934 48.54220192 7.9086423 48.5858575 7.908517 48.62948436 7.9084387 48.67306451 7.9083705 48.71663517 7.908296 48.76015422 7.9082203 48.80361257 7.908151;
WV1_PM8_SO;ARCHIVED;2011-08-02_11_06_43_000;2011-08-02_11_06_45_000;EW02;OPTICAL;0;VHR1-2_Urban_Atlas_2012/EU00/UTM-WGS84;2015-07-28_13_09_22_000;EW02_WV1_PM8_SO_20110802T110843_20110802T110845_DGI_9518_F409.0000.tar;NOMINAL;9518;DESCENDING;;;;;;Optical VHR1;orderReference_not_available;3695493120;https://cdsdata.copernicus.eu/pd-desk/OA/RVcwMg==/MC4x/1f/dXJuOmVvcDpFVVNJOkVXMDI6MTAzMDA1MDAxMUY5NkMwMDowNTQ0Mjg3ODgwMTA=/0/RVcwMl9XVjFfUE04X1NPXzIwMTEwODAyVDExMDg0M18yMDExMDgwMlQxMTA4NDVfREdJXzk1MThfRjQwOS4wMDAwLnRhcg==;urn:eop:EUSI:EW02:1030050011F96C00:054428788010;48.7940897 8.129402 48.7884024 7.880093 48.76972662 7.880137 48.72597853 7.8801484 48.68229421 7.8802013 48.63867866 7.8802557 48.64229278 8.127194 48.68647797 8.128064 48.73071893 8.12859 48.77502068 8.129141 48.7940897 8.129402;
WV1_PM8_SO;ARCHIVED;2011-09-01_11_06_44_000;2011-09-01_11_06_50_000;EW02;OPTICAL;0;VHR1-2_Urban_Atlas_2012/EU00/UTM-WGS84;2015-07-28_13_09_22_000;EW02_WV1_PM8_SO_20110901T110944_20110901T110950_DGI_9949_3DBC.0000.tar;NOMINAL;9949;DESCENDING;;;;;;Optical VHR1;orderReference_not_available;14299033600;https://cdsdata.copernicus.eu/pd-desk/OA/RVcwMg==/MC4x/d0/dXJuOmVvcDpFVVNJOkVXMDI6MTAzMDA1MDAxM0Y4RTMwMDowNTQ0MTQxOTYwMTA=/0/RVcwMl9XVjFfUE04X1NPXzIwMTEwOTAxVDExMDk0NF8yMDExMDkwMVQxMTA5NTBfREdJXzk5NDlfM0RCQy4wMDAwLnRhcg==;urn:eop:EUSI:EW02:1030050013F8E300:054414196010;48.8868716 6.1145525 48.877682 5.8772173 48.83258358 5.87725 48.78742835 5.8771734 48.74234657 5.877132 48.69719705 5.8769546 48.65220544 5.876853 48.60722932 5.876726 48.56223053 5.876526 48.51725323 5.8762903 48.47233259 5.876038 48.42745683 5.8757896 48.38266769 5.875563 48.33803097 5.8754277 48.30959543 5.8752985 48.3179788 6.109327 48.34642825 6.1096478 48.39121899 6.11011 48.43601636 6.110522 48.4808981 6.110964 48.52579431 6.1113844 48.57084528 6.111897 48.61587783 6.1123333 48.66064592 6.112446 48.70585805 6.1129646 48.75091682 6.113269 48.79638533 6.1138887 48.84148145 6.114116 48.8868716 6.1145525;
WV1_PM8_SO;ARCHIVED;2011-09-01_11_06_20_000;2011-09-01_11_06_25_000;EW02;OPTICAL;0;VHR1-2_Urban_Atlas_2012/EU00/UTM-WGS84;2015-07-28_13_09_22_000;EW02_WV1_PM8_SO_20110901T110920_20110901T110925_DGI_9949_81F9.0000.tar;NOMINAL;9949;DESCENDING;;;;;;Optical VHR1;orderReference_not_available;10066790400;https://cdsdata.copernicus.eu/pd-desk/OA/RVcwMg==/MC4x/4c/dXJuOmVvcDpFVVNJOkVXMDI6MTAzMDA1MDAxM0Y4RTYwMDowNTQ0MTQxOTgwMTA=/0/RVcwMl9XVjFfUE04X1NPXzIwMTEwOTAxVDExMDkyMF8yMDExMDkwMVQxMTA5MjVfREdJXzk5NDlfODFGOS4wMDAwLnRhcg==;urn:eop:EUSI:EW02:1030050013F8E600:054414198010;50.13492824 2.6644106 50.144214 2.4093037 50.14261591 2.4092982 50.0959765 2.4098592 50.04963835 2.4103668 50.0035577 2.4108236 49.95773782 2.4112053 49.9120878 2.4116054 49.86664109 2.4121294 49.82140979 2.4125245 49.77622215 2.4131918 49.73135393 2.4136205 49.7266168 2.66242 49.77101858 2.6625304 49.81564188 2.6626499 49.86040915 2.6628325 49.90544893 2.6628358 49.95053825 2.6632473 49.99596606 2.6634214 50.04161028 2.663639 50.08734127 2.664084 50.13345023 2.6643963 50.13492824 2.6644106;
